epoch,stage,total,bce,wbce,nc,q,base_loss,region_coef,region_ratio,region_ual,region_ual_raw
20,C3_broad_1to1,0.111779,0.054960,0.054960,0.056819,2.000000,0.111779,0.000000,0.141260,0.000000,0.184613
21,C3_broad_1to1,0.109498,0.054256,0.054256,0.055242,2.000000,0.109498,0.000000,0.144348,0.000000,0.181057
22,C3_broad_1to1,0.106818,0.053072,0.053072,0.053746,2.000000,0.106818,0.000000,0.144576,0.000000,0.175597
23,C3_broad_1to1,0.104018,0.051714,0.051714,0.052304,2.000000,0.104018,0.000000,0.145821,0.000000,0.174150
24,C3_broad_1to1,0.103773,0.051144,0.051144,0.052629,2.000000,0.103773,0.000000,0.141889,0.000000,0.172768
25,C3_broad_1to1,0.102518,0.050041,0.050041,0.052477,2.000000,0.102518,0.000000,0.142718,0.000000,0.171266
26,C3_broad_1to1,0.101282,0.049903,0.049903,0.051379,2.000000,0.101282,0.000000,0.144209,0.000000,0.167220
27,C3_broad_1to1,0.099543,0.048859,0.048859,0.050684,2.000000,0.099543,0.000000,0.144829,0.000000,0.166041
28,C3_broad_1to1,0.101541,0.050074,0.050074,0.051467,2.000000,0.101541,0.000000,0.146747,0.000000,0.167726
29,C3_broad_1to1,0.098237,0.047712,0.047712,0.050525,2.000000,0.098237,0.000000,0.142924,0.000000,0.165080
30,C3_broad_1to1,0.093581,0.045771,0.045771,0.047810,2.000000,0.093581,0.000000,0.143129,0.000000,0.158216
31,C3_broad_1to1,0.092739,0.045486,0.045486,0.047253,2.000000,0.092739,0.000000,0.144603,0.000000,0.157044
32,C3_broad_1to1,0.091699,0.044600,0.044600,0.047100,2.000000,0.091699,0.000000,0.141192,0.000000,0.155478
33,C3_broad_1to1,0.093061,0.045055,0.045055,0.048005,2.000000,0.093061,0.000000,0.141131,0.000000,0.157783
34,C3_broad_1to1,0.092698,0.045186,0.045186,0.047512,2.000000,0.092698,0.000000,0.144064,0.000000,0.155165
35,C3_broad_1to1,0.090552,0.044049,0.044049,0.046503,2.000000,0.090552,0.000000,0.143237,0.000000,0.153360
36,C3_broad_1to1,0.089621,0.044129,0.044129,0.045492,2.000000,0.089621,0.000000,0.144872,0.000000,0.150608
37,C3_broad_1to1,0.086921,0.042139,0.042139,0.044781,2.000000,0.086921,0.000000,0.142367,0.000000,0.147432
38,C3_broad_1to1,0.084757,0.041282,0.041282,0.043475,2.000000,0.084757,0.000000,0.144151,0.000000,0.144216
39,C3_broad_1to1,0.086661,0.042088,0.042088,0.044574,2.000000,0.086661,0.000000,0.143250,0.000000,0.146767
40,C3_broad_1to1,0.085688,0.041820,0.041820,0.043868,2.000000,0.085688,0.000000,0.144347,0.000000,0.145617
41,C3_broad_1to1,0.083440,0.040618,0.040618,0.042822,2.000000,0.083440,0.000000,0.143577,0.000000,0.143020
42,C3_broad_1to1,0.084047,0.040872,0.040872,0.043175,2.000000,0.084047,0.000000,0.143702,0.000000,0.142102
43,C3_broad_1to1,0.082832,0.040031,0.040031,0.042801,2.000000,0.082832,0.000000,0.142243,0.000000,0.140762
44,C3_broad_1to1,0.082985,0.040160,0.040160,0.042825,2.000000,0.082985,0.000000,0.143061,0.000000,0.141450
45,C3_broad_1to1,0.081576,0.039466,0.039466,0.042110,2.000000,0.081576,0.000000,0.141495,0.000000,0.139780
46,C3_broad_1to1,0.079621,0.038462,0.038462,0.041158,2.000000,0.079621,0.000000,0.141832,0.000000,0.138199
47,C3_broad_1to1,0.084339,0.040769,0.040769,0.043571,2.000000,0.084339,0.000000,0.142757,0.000000,0.141599
48,C3_broad_1to1,0.078694,0.037997,0.037997,0.040697,2.000000,0.078694,0.000000,0.141231,0.000000,0.135172
49,C3_broad_1to1,0.076600,0.037192,0.037192,0.039408,2.000000,0.076600,0.000000,0.143825,0.000000,0.132045
50,C3_broad_1to1,0.076893,0.037014,0.037014,0.039879,2.000000,0.076893,0.000000,0.142741,0.000000,0.133457
51,C3_broad_1to1,0.077223,0.037039,0.037039,0.040183,2.000000,0.077223,0.000000,0.142202,0.000000,0.132916
52,C3_broad_1to1,0.074784,0.036076,0.036076,0.038708,2.000000,0.074784,0.000000,0.142903,0.000000,0.129941
53,C3_broad_1to1,0.076327,0.037119,0.037119,0.039208,2.000000,0.076327,0.000000,0.145817,0.000000,0.131137
54,C3_broad_1to1,0.077657,0.037812,0.037812,0.039845,2.000000,0.077657,0.000000,0.145234,0.000000,0.131199
55,C3_broad_1to1,0.074897,0.036111,0.036111,0.038786,2.000000,0.074897,0.000000,0.144435,0.000000,0.130419
56,C3_broad_1to1,0.074772,0.036087,0.036087,0.038685,2.000000,0.074772,0.000000,0.143513,0.000000,0.128215
57,C3_broad_1to1,0.073850,0.035420,0.035420,0.038430,2.000000,0.073850,0.000000,0.142749,0.000000,0.127688
58,C3_broad_1to1,0.073183,0.035240,0.035240,0.037943,2.000000,0.073183,0.000000,0.145573,0.000000,0.126646
59,C3_broad_1to1,0.071586,0.034603,0.034603,0.036983,2.000000,0.071586,0.000000,0.142896,0.000000,0.124683
60,C3_broad_1to1,0.070055,0.034026,0.034026,0.036029,2.000000,0.070055,0.000000,0.145687,0.000000,0.121489
61,C3_anneal,0.189516,0.050568,0.050568,0.094764,1.001980,0.189512,0.000405,0.141183,0.000004,0.056113
62,C3_anneal,0.170503,0.055203,0.055203,0.085239,1.000000,0.170477,0.002836,0.144460,0.000025,0.044914
63,C3_anneal,0.168486,0.056174,0.056174,0.084211,1.000000,0.168423,0.007690,0.139089,0.000063,0.041229
64,C3_anneal,0.169566,0.061226,0.061226,0.084725,1.000000,0.169449,0.014942,0.143911,0.000117,0.039258
65,C3_anneal,0.163904,0.060958,0.060958,0.081862,1.000000,0.163723,0.024558,0.142173,0.000180,0.036854
66,C3_anneal,0.160694,0.065907,0.065907,0.080218,1.000000,0.160437,0.036489,0.146927,0.000257,0.035225
